(250,21)
(158,94)
(82,42)
(166,202)
(242,129)
(116,181)
(235,188)
(19,197)
(72,200)
(52,227)
(38,212)
(122,175)
(76,232)
(136,189)
(58,54)
(169,174)
(87,180)
(31,121)
(208,105)
(150,225)
(157,79)
(144,249)
(47,240)
(12,217)
(131,151)
(172,113)
(50,121)
(65,205)
(163,190)
(19,117)
(47,75)
(95,79)
(81,7)
(35,21)
(135,113)
(138,31)
(22,220)
(216,174)
(231,142)
(52,53)
(127,178)
(185,170)
(185,178)
(25,170)
(67,29)
(93,14)
(76,182)
(211,226)
(169,152)
(76,38)
(92,218)
(81,199)
(229,188)
(150,140)
(213,84)
(205,58)
(43,197)
(214,125)
(82,30)
(91,64)
(148,8)
(78,20)
(219,34)
(114,233)
(215,187)
(57,12)
(124,68)
(237,57)
(28,44)
(228,131)
(174,115)
(10,206)
(48,18)
(205,60)
(20,101)
(152,180)
(146,34)
(118,152)
(169,255)
(136,142)
(38,27)
(160,104)
(199,74)
(141,50)
(20,70)
(103,176)
(204,200)
(38,216)
(68,215)
(124,54)
(151,193)
(183,77)
(80,244)
(255,31)
(214,94)
(234,85)
(100,62)
(119,241)
(162,198)
(61,25)
(65,233)
(156,121)
(36,155)
(65,7)
(25,183)
(140,232)
(242,241)
(31,44)
(238,9)
(50,160)
(224,238)
(146,113)
(169,0)
(128,225)
(181,9)
(30,52)
(196,215)
(168,230)
(54,71)
(150,182)
(99,13)
(81,83)
(102,28)
(128,166)
(183,197)
(85,184)
(118,29)
(116,249)
(141,143)
(142,175)
(181,175)
(124,189)
(189,126)
(28,230)
(128,71)
(156,159)
(77,33)
(180,90)
(78,26)
(154,167)
(125,23)
(139,92)
(158,50)
(176,232)
(207,152)
(140,21)
(88,107)
(7,103)
(207,78)
(106,127)
(149,81)
(243,144)
(215,25)
(157,117)
(66,64)
(96,25)
(234,207)
(165,54)
(74,96)
(124,50)
(205,171)
(203,139)
(150,199)
(157,95)
(52,146)
(202,216)
(190,187)
(82,120)
(79,77)
(122,209)
(98,92)
(69,7)
(100,31)
(213,205)
(44,76)
(205,175)
(122,200)
(120,207)
(146,25)
(65,125)
(31,21)
(104,8)
(151,232)
(241,124)
(169,45)
(77,240)
(151,235)
(144,251)
(83,194)
(165,2)
(180,1)
(28,195)
(17,70)
(75,77)
(2,0)
(91,95)
(7,46)
(122,99)
(95,66)
(165,59)
